Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.95,-0.03,-0.301%,118743300.00,,2021,9686,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.3097,-0.0903,-2.656%,173113624.00,United States,,1097075,,
CIX,CompX International Inc. Common Stock,$14.85,-0.15,-1.00%,184899681.00,United States,1998,5328,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.62,-0.002,-0.019%,20629297.00,United States,,441,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.41,-0.19,-1.397%,1041587353.00,United States,1987,824649,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$16.13,0.00,0.00%,195476615.00,Canada,,54969,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$11.89,-0.51,-4.113%,94785570.00,United States,,54161,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$26.50,-0.40,-1.487%,35218686.00,United States,,15342,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.9031,-0.0169,-1.837%,41162898.00,China,,194139,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$43.34,-0.27,-0.619%,20977475471.00,United States,2007,294957,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.28,-0.14,-1.043%,545059114.00,United States,,438530,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.88,-0.01,-0.257%,277082766.00,,2015,434146,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.26,-0.05,-2.165%,24073631.00,United States,2017,74904,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$20.45,0.52,2.609%,828823735.00,United States,,453541,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
